識別號,年度,主聘系所,教師姓名,專兼任,狀態,專案案號,專案案名,專案類型,計畫性質,是否為補助在籍學生之人才培育相關課程(計畫)或就業學程,執行起始日期,執行結束日期,工作類別,經費狀態,計畫總金額(元),政府出資金額,企業出資金額,其他單位出資金額,學校(研究學院)出資金額,主要經費來源,單位名稱,次要經費來源,受惠機構名稱,國內委託單位,國外委託單位,國內合作單位,國外合作單位,他校轉入的專案,專案已轉至他校
1262212,114,通識教育學科,曾裕淇,專任,續聘,GZRPF6Q0031,結合客家文化要素與AI技術：客家長者於醫療機構『文化照護』策略研究,政府學術研究計畫-其他政府部會學術研究計畫(非國科會專題研究計畫),--,,2025/8/1,2026/7/31,主持人,原核定,"250,000","250,000",0,0,0,政府其他部會,客家委員會,,,客家委員會,,,,否,否
1285128,114,通識教育學科,曾裕淇,專任,續聘,NMRPF6Q0081,結合AI技術之多語言照護包開發：因應高齡社會與移工結構需求的社會應用研究,政府學術研究計畫-國科會專題研究計畫,--,,2025/12/1,2026/11/30,主持人,原核定,"951,000","951,000",0,0,0,國科會,國科會,,,國科會,,,,否,否
1262190,114,通識教育學科,張玫萍,專任,續聘,SCRPF6Q0021,日治時期版築技術技術工法外文資料整理與研究,企業產學計畫(含公營及私人企業),A1專題研究,,2025/1/10,2025/7/31,共同(協同)主持人,,0,0,0,0,0,企業(公營、民營、國外及私人企業),陳建邦建築師事務所,,,陳建邦建築師事務所,,,,否,否
1262210,114,通識教育學科,李怡靜,專任,續聘,SCRPF6Q0021,日治時期版築技術技術工法外文資料整理與研究,企業產學計畫(含公營及私人企業),A5諮詢顧問,,2025/1/10,2025/7/31,主持人,原核定,"250,000",0,"250,000",0,0,企業(公營、民營、國外及私人企業),陳建邦建築師事務所,,,陳建邦建築師事務所,,,,否,否
1285138,114,通識教育學科,曾裕淇,專任,續聘,ZMRPF3Q0251,國科會計畫(NMRPF6Q0081)相對補助30%,校內補助案,--,,2025/12/1,2026/11/30,主持人,原核定,"210,000",0,0,0,"210,000",學校,長庚科技大學,,,長庚科技大學,,,,否,否
1285139,114,嘉義分部護理系,林宜昀,專任,新任,ZORPF6Q0011,偏鄉高齡者之健康飲食行為、個別化飲食與健康促進規劃:智慧餐桌健康行為系統之建置與成效評估,校內補助案,--,,2025/12/1,2027/11/30,主持人,原核定,"1,000,000",0,0,0,"1,000,000",學校,長庚科技大學,,,長庚科技大學,,,,否,否
1262224,114,嘉義分部護理系,辜漢章,專任,續聘,114-2914-I-255-001-A1,補助國內專家學者出席國際學術會議,政府其他案件,--,,2025/7/17,2025/7/20,主持人,原核定,"50,000","50,000",0,0,0,國科會,國科會,,,國科會,,,,否,否
1262180,114,嘉義分部護理系,鄧志娟,專任,續聘,CMRPF6Q0021,運用同位素標記蛋白質體學技術分析牛樟菇菌絲體成分安卓錠 Antrodin C抗大腸癌之標靶分子與表觀遺傳機制探討(1/3),其他單位產學計畫,A1專題研究,,2025/1/1,2025/12/31,主持人,原核定,"920,000",0,0,"920,000",0,其他單位(包含法人機構),長庚醫院,,,長庚醫院,,,,否,否
1262203,114,嘉義分部護理系,洪瑞鎂,專任,續聘,EZRPF6Q0011,教育部推動第四期大學社會責任實踐計畫-多元新視界，攜手嘉移人,政府其他案件,--,,2025/1/1,2025/12/31,共同(協同)主持人,,0,0,0,0,0,教育部,教育部,長庚科技大學,,教育部,,,,否,否
1262182,114,嘉義分部護理系,梁蕙芳,專任,續聘,EZRPF6Q0031,尋找復原力之脈絡軌跡-以兒科護理學為例,政府學術研究計畫-其他政府部會學術研究計畫(非國科會專題研究計畫),--,,2025/8/1,2026/7/31,主持人,原核定,"267,950","267,950",0,0,0,教育部,教育部,,,教育部,,,,否,否
